,Unnamed: 0,IDC,Prenom,Nom_x,email,adresse,MT_TOT,PMG,RECENCE
53,53,1042,Louis,Testit,Louis.Testit@gjunk.com,"Boulevard de la girafouine, 1180 Staro Selo",3037.0,3. M,0
54,54,1119,Josiane,Pigox,Josiane.Pigox@youpi.com,"Boulevard de la girafouine, 1180 Cheapbourg",609.0,4. P,18
55,55,1889,Mamadou,Lazare,Mamadou.Lazare@youpi.com,"Rue des bananes, 13370 Montruc",47.0,4. P,9
56,56,959,Laurent,Maricic,Laurent.Maricic@hotme.com,"Place des curkas, 13370 Staro Selo",27.0,4. P,21
57,57,1726,Franck,Pigox,Franck.Pigox@minitel.fr,"Hameau du hibours, 1180 Veliko Curan",149.5,4. P,10
58,58,1552,Mamadou,Pigox,Mamadou.Pigox@youpi.com,"Boulevard de la girafouine, 1180 Staro Selo",189.5,4. P,12
59,59,1766,Josiane,Pigox,Josiane.Pigox@gjunk.com,"Avenue des Schtroumps, 1180 Staro Selo",214.1,4. P,9
60,60,1087,Mamadou,Pavlovic,Mamadou.Pavlovic@gjunk.com,"Place des curkas, 13370 Staro Selo",4687.7,3. M,1
61,61,160,Josiane,Maricic,Josiane.Maricic@minitel.fr,"Place des curkas, 1180 Montruc",62.0,4. P,1
62,62,1512,Laurent,Pavlovic,Laurent.Pavlovic@minitel.fr,"Place des curkas, 50130 Staro Selo",1051.0,4. P,0
63,63,961,Mamadou,Cule,Mamadou.Cule@yopmail.com,"Rue des bananes, 1180 Cheapbourg",9790.5,3. M,0
64,64,2335,Laurent,Martin,Laurent.Martin@yopmail.com,"Place des curkas, 50130 Veliko Curan",700.5,4. P,4
65,65,839,Josiane,Pigox,Josiane.Pigox@minitel.fr,"Place des curkas, 13370 Montruc",4.5,4. P,20
66,66,2002,Mamadou,Pavlovic,Mamadou.Pavlovic@yopmail.com,"Place des curkas, 1180 Veliko Curan",6.0,4. P,9
67,67,912,Louis,Pavlovic,Louis.Pavlovic@gjunk.com,"Avenue des Schtroumps, 1180 Montruc",502.5,4. P,0
68,68,1746,Laurent,Cule,Laurent.Cule@hotme.com,"Rue des bananes, 13370 Staro Selo",8.0,4. P,10
69,69,927,Franck,Cule,Franck.Cule@minitel.fr,"Hameau du hibours, 1180 Cheapbourg",1188.0,4. P,13
70,70,1174,Jean,Maricic,Jean.Maricic@dtc.de,"Rue des bananes, 1180 Veliko Curan",7525.1,3. M,0
71,71,1891,Jeanette,Garcimore,Jeanette.Garcimore@minitel.fr,"Avenue des Schtroumps, 1180 Staro Selo",103.0,4. P,9
72,72,152,Bodgan,Pigox,Bodgan.Pigox@minitel.fr,"Place des curkas, 1180 Staro Selo",5089.5,3. M,0
73,73,1284,Mamadou,Martin,Mamadou.Martin@youpi.com,"Place des curkas, 50130 Staro Selo",157.0,4. P,14
74,74,1947,Mamadou,Martin,Mamadou.Martin@hotme.com,"Boulevard de la girafouine, 1180 Veliko Curan",148.5,4. P,3
75,75,1125,Josiane,Maricic,Josiane.Maricic@minitel.fr,"Hameau du hibours, 50130 Montruc",14854.0,2. G,0
76,76,1179,Laurence,Kezman,Laurence.Kezman@gjunk.com,"Avenue des Schtroumps, 1180 Veliko Curan",2605.0,3. M,0
77,77,1534,Franck,Pigox,Franck.Pigox@hotme.com,"Avenue des Schtroumps, 1180 Veliko Curan",605.5,4. P,1
78,78,1832,Louis,Cule,Louis.Cule@dtc.de,"Place des curkas, 50130 Staro Selo",17.5,4. P,10
79,79,1055,Mamadou,Testit,Mamadou.Testit@dtc.de,"Avenue des Schtroumps, 50130 Veliko Curan",4517.55,3. M,0
80,80,1456,Marc,Maricic,Marc.Maricic@minitel.fr,"Rue des bananes, 13370 Montruc",50.0,4. P,14
81,81,1902,Jean,Testit,Jean.Testit@dtc.de,"Hameau du hibours, 50130 Staro Selo",341.5,4. P,0
82,82,1557,Laurence,Martin,Laurence.Martin@youpi.com,"Rue des bananes, 13370 Staro Selo",3251.0,3. M,9
83,83,1955,Jeanette,Bouillave,Jeanette.Bouillave@gjunk.com,"Place des curkas, 50130 Veliko Curan",265.5,4. P,9
84,84,1410,Marc,Martin,Marc.Martin@minitel.fr,"Rue des bananes, 13370 Cheapbourg",5724.5,3. M,0
85,85,1837,Franck,Martin,Franck.Martin@gjunk.com,"Avenue des Schtroumps, 13370 Montruc",8591.0,3. M,0
86,86,1614,Laurent,Kezman,Laurent.Kezman@minitel.fr,"Hameau du hibours, 13370 Veliko Curan",411.5,4. P,1
87,87,1772,Josiane,Bouillave,Josiane.Bouillave@youpi.com,"Hameau du hibours, 13370 Staro Selo",87.0,4. P,10
88,88,755,Jeanette,Pigox,Jeanette.Pigox@youpi.com,"Boulevard de la girafouine, 50130 Cheapbourg",1145.5,4. P,11
89,89,944,Marc,Cule,Marc.Cule@hotme.com,"Boulevard de la girafouine, 50130 Montruc",47.0,4. P,22
90,90,1326,Laurent,Pigox,Laurent.Pigox@youpi.com,"Avenue des Schtroumps, 1180 Staro Selo",228.5,4. P,12
91,91,491,Jeanette,Kezman,Jeanette.Kezman@minitel.fr,"Hameau du hibours, 50130 Cheapbourg",10212.5,3. M,2
92,92,1188,Louis,Cule,Louis.Cule@minitel.fr,"Avenue des Schtroumps, 13370 Montruc",13.0,4. P,13
93,93,1124,Laurence,Martin,Laurence.Martin@yopmail.com,"Boulevard de la girafouine, 13370 Veliko Curan",20911.0,2. G,0
94,94,1145,Josiane,Bouillave,Josiane.Bouillave@youpi.com,"Boulevard de la girafouine, 50130 Staro Selo",1221.5,4. P,0
95,95,194,Josiane,Garcimore,Josiane.Garcimore@minitel.fr,"Boulevard de la girafouine, 1180 Veliko Curan",2184.5,3. M,0
96,96,103,Josiane,Lazare,Josiane.Lazare@dtc.de,"Place des curkas, 50130 Staro Selo",7198.9,3. M,0
97,97,1078,Franck,Maricic,Franck.Maricic@gjunk.com,"Boulevard de la girafouine, 1180 Staro Selo",430.5,4. P,5
98,98,1657,Laurence,Garcimore,Laurence.Garcimore@gjunk.com,"Boulevard de la girafouine, 13370 Cheapbourg",29.0,4. P,9
99,99,1979,Marc,Maricic,Marc.Maricic@gjunk.com,"Boulevard de la girafouine, 1180 Montruc",326.5,4. P,9
100,100,231,Josiane,Kezman,Josiane.Kezman@dtc.de,"Hameau du hibours, 1180 Veliko Curan",97.0,4. P,16
101,101,942,Laurence,Martin,Laurence.Martin@yopmail.com,"Place des curkas, 1180 Montruc",26.0,4. P,22
102,102,1097,Laurent,Lazare,Laurent.Lazare@yopmail.com,"Hameau du hibours, 13370 Staro Selo",1298.5,4. P,1
103,103,776,Laurent,Garcimore,Laurent.Garcimore@youpi.com,"Rue des bananes, 13370 Staro Selo",26896.5,2. G,4
104,104,1934,Mamadou,Maricic,Mamadou.Maricic@dtc.de,"Avenue des Schtroumps, 1180 Cheapbourg",41.0,4. P,10
105,105,1438,Franck,Martin,Franck.Martin@dtc.de,"Avenue des Schtroumps, 13370 Montruc",6326.5,3. M,0
106,106,1954,Bodgan,Lazare,Bodgan.Lazare@minitel.fr,"Rue des bananes, 13370 Veliko Curan",1202.5,4. P,8
107,107,1694,Laurent,Pavlovic,Laurent.Pavlovic@minitel.fr,"Avenue des Schtroumps, 13370 Montruc",2234.0,3. M,6
108,108,926,Jeanette,Pigox,Jeanette.Pigox@youpi.com,"Avenue des Schtroumps, 50130 Cheapbourg",3943.9,3. M,0
109,109,1630,Mamadou,Maricic,Mamadou.Maricic@hotme.com,"Hameau du hibours, 1180 Staro Selo",1039.2,4. P,0
110,110,3452,Laurence,Pigox,Laurence.Pigox@yopmail.com,"Hameau du hibours, 1180 Veliko Curan",2216.0,3. M,0
111,111,1425,Jeanette,Pavlovic,Jeanette.Pavlovic@dtc.de,"Place des curkas, 50130 Staro Selo",408.7,4. P,5
112,112,1367,Laurent,Martin,Laurent.Martin@youpi.com,"Rue des bananes, 50130 Staro Selo",324.4,4. P,14
113,113,1881,Louis,Bouillave,Louis.Bouillave@yopmail.com,"Hameau du hibours, 13370 Cheapbourg",2.0,4. P,10
114,114,1918,Jean,Lazare,Jean.Lazare@minitel.fr,"Place des curkas, 13370 Montruc",5430.5,3. M,0
115,115,1791,Josiane,Martin,Josiane.Martin@gjunk.com,"Avenue des Schtroumps, 50130 Veliko Curan",9902.5,3. M,0
116,116,1348,Laurence,Pigox,Laurence.Pigox@gjunk.com,"Rue des bananes, 13370 Veliko Curan",75698.5,1. TG,0
117,117,1127,Jeanette,Martin,Jeanette.Martin@dtc.de,"Place des curkas, 50130 Cheapbourg",100.0,4. P,19
118,118,1636,Marc,Pigox,Marc.Pigox@yopmail.com,"Place des curkas, 13370 Staro Selo",1138.0,4. P,0
119,119,1382,Laurence,Kezman,Laurence.Kezman@youpi.com,"Boulevard de la girafouine, 1180 Staro Selo",15.0,4. P,15
120,120,247,Marc,Pavlovic,Marc.Pavlovic@dtc.de,"Place des curkas, 1180 Montruc",1081.0,4. P,5
121,121,686,Marc,Maricic,Marc.Maricic@yopmail.com,"Place des curkas, 1180 Montruc",3031.5,3. M,0
122,122,1887,Jean,Lazare,Jean.Lazare@gjunk.com,"Avenue des Schtroumps, 50130 Veliko Curan",14.0,4. P,10
123,123,1668,Marc,Cule,Marc.Cule@hotme.com,"Rue des bananes, 1180 Veliko Curan",183.0,4. P,8
124,124,133,Louis,Lazare,Louis.Lazare@dtc.de,"Place des curkas, 1180 Veliko Curan",5569.0,3. M,0
125,125,1172,Josiane,Bouillave,Josiane.Bouillave@gjunk.com,"Place des curkas, 50130 Montruc",2002.5,3. M,9
126,126,221,Franck,Garcimore,Franck.Garcimore@dtc.de,"Place des curkas, 50130 Cheapbourg",3.0,4. P,21
127,127,1796,Franck,Garcimore,Franck.Garcimore@dtc.de,"Rue des bananes, 13370 Staro Selo",42.0,4. P,10
128,128,1105,Mamadou,Bouillave,Mamadou.Bouillave@hotme.com,"Avenue des Schtroumps, 1180 Montruc",9375.05,3. M,0
129,129,1402,Marc,Martin,Marc.Martin@minitel.fr,"Avenue des Schtroumps, 1180 Cheapbourg",25.0,4. P,13
130,130,1376,Franck,Martin,Franck.Martin@hotme.com,"Place des curkas, 13370 Cheapbourg",52.5,4. P,9
131,131,1956,Bodgan,Testit,Bodgan.Testit@hotme.com,"Avenue des Schtroumps, 13370 Cheapbourg",483.0,4. P,1
132,132,1950,Jean,Kezman,Jean.Kezman@dtc.de,"Avenue des Schtroumps, 13370 Cheapbourg",506.1,4. P,0
133,133,673,Laurent,Pavlovic,Laurent.Pavlovic@gjunk.com,"Hameau du hibours, 13370 Staro Selo",67.7,4. P,22
134,134,1281,Josiane,Maricic,Josiane.Maricic@minitel.fr,"Hameau du hibours, 1180 Cheapbourg",16801.5,2. G,1
135,135,1342,Louis,Lazare,Louis.Lazare@hotme.com,"Avenue des Schtroumps, 13370 Cheapbourg",239.0,4. P,1
136,136,1608,Laurence,Testit,Laurence.Testit@minitel.fr,"Place des curkas, 13370 Cheapbourg",58.5,4. P,11
137,137,1687,Marc,Pigox,Marc.Pigox@minitel.fr,"Avenue des Schtroumps, 1180 Staro Selo",13.0,4. P,11
138,138,169,Bodgan,Pavlovic,Bodgan.Pavlovic@hotme.com,"Boulevard de la girafouine, 50130 Cheapbourg",1214.5,4. P,1
139,139,1450,Laurence,Martin,Laurence.Martin@youpi.com,"Rue des bananes, 13370 Staro Selo",7118.0,3. M,0
140,140,1886,Marc,Testit,Marc.Testit@hotme.com,"Boulevard de la girafouine, 50130 Montruc",45.5,4. P,9
141,141,3773,Jean,Maricic,Jean.Maricic@dtc.de,"Rue des bananes, 50130 Montruc",159.5,4. P,4
142,142,1209,Louis,Pavlovic,Louis.Pavlovic@dtc.de,"Avenue des Schtroumps, 1180 Staro Selo",383.75,4. P,15
143,143,1486,Bodgan,Cule,Bodgan.Cule@gjunk.com,"Boulevard de la girafouine, 13370 Cheapbourg",1249.0,4. P,1
144,144,1931,Jean,Martin,Jean.Martin@minitel.fr,"Hameau du hibours, 50130 Veliko Curan",107.0,4. P,3
145,145,1259,Josiane,Testit,Josiane.Testit@yopmail.com,"Boulevard de la girafouine, 1180 Montruc",476.9,4. P,0
146,146,1735,Jeanette,Pigox,Jeanette.Pigox@yopmail.com,"Avenue des Schtroumps, 50130 Cheapbourg",7480.05,3. M,0
147,147,249,Laurence,Martin,Laurence.Martin@minitel.fr,"Avenue des Schtroumps, 50130 Staro Selo",616.5,4. P,0
148,148,1328,Jean,Martin,Jean.Martin@minitel.fr,"Hameau du hibours, 13370 Cheapbourg",2845.0,3. M,3
149,149,1137,Mamadou,Bouillave,Mamadou.Bouillave@youpi.com,"Avenue des Schtroumps, 50130 Staro Selo",519.5,4. P,0
150,150,1709,Josiane,Cule,Josiane.Cule@dtc.de,"Avenue des Schtroumps, 1180 Staro Selo",732.0,4. P,6
151,151,1497,Laurent,Garcimore,Laurent.Garcimore@gjunk.com,"Hameau du hibours, 1180 Montruc",2526.6,3. M,0
152,152,1202,Jeanette,Lazare,Jeanette.Lazare@minitel.fr,"Avenue des Schtroumps, 1180 Veliko Curan",1171.5,4. P,0
153,153,471,Bodgan,Maricic,Bodgan.Maricic@youpi.com,"Rue des bananes, 13370 Cheapbourg",410.5,4. P,8
154,154,151,Bodgan,Cule,Bodgan.Cule@gjunk.com,"Hameau du hibours, 1180 Veliko Curan",9518.0,3. M,1
155,155,1017,Jeanette,Garcimore,Jeanette.Garcimore@hotme.com,"Boulevard de la girafouine, 50130 Staro Selo",6.0,4. P,20
156,156,1166,Jean,Cule,Jean.Cule@gjunk.com,"Rue des bananes, 1180 Cheapbourg",37495.75,2. G,0
157,157,1982,Franck,Testit,Franck.Testit@yopmail.com,"Place des curkas, 1180 Montruc",898.5,4. P,0
158,158,1864,Bodgan,Garcimore,Bodgan.Garcimore@yopmail.com,"Boulevard de la girafouine, 50130 Cheapbourg",38.5,4. P,10
159,159,1167,Bodgan,Garcimore,Bodgan.Garcimore@gjunk.com,"Avenue des Schtroumps, 50130 Montruc",106.5,4. P,15
160,160,1428,Jean,Martin,Jean.Martin@youpi.com,"Avenue des Schtroumps, 13370 Veliko Curan",33.0,4. P,14
161,161,566,Bodgan,Cule,Bodgan.Cule@hotme.com,"Hameau du hibours, 50130 Staro Selo",1769.5,3. M,8
162,162,1176,Laurent,Lazare,Laurent.Lazare@yopmail.com,"Place des curkas, 13370 Montruc",790.5,4. P,0
163,163,793,Josiane,Pigox,Josiane.Pigox@gjunk.com,"Place des curkas, 50130 Cheapbourg",19758.05,2. G,5
164,164,991,Laurence,Pigox,Laurence.Pigox@yopmail.com,"Rue des bananes, 50130 Veliko Curan",32.0,4. P,19
165,165,1126,Jeanette,Bouillave,Jeanette.Bouillave@hotme.com,"Hameau du hibours, 1180 Staro Selo",15.0,4. P,19
166,166,1304,Franck,Martin,Franck.Martin@gjunk.com,"Avenue des Schtroumps, 50130 Staro Selo",299.0,4. P,8
167,167,1423,Mamadou,Garcimore,Mamadou.Garcimore@hotme.com,"Place des curkas, 13370 Staro Selo",68.5,4. P,14
168,168,1076,Franck,Lazare,Franck.Lazare@hotme.com,"Avenue des Schtroumps, 1180 Veliko Curan",2663.5,3. M,3
169,169,1908,Louis,Testit,Louis.Testit@youpi.com,"Rue des bananes, 50130 Montruc",922.5,4. P,3
170,170,430,Mamadou,Kezman,Mamadou.Kezman@dtc.de,"Place des curkas, 1180 Staro Selo",2993.5,3. M,6
171,171,1186,Mamadou,Martin,Mamadou.Martin@hotme.com,"Avenue des Schtroumps, 50130 Cheapbourg",3189.5,3. M,1
172,172,1315,Marc,Garcimore,Marc.Garcimore@youpi.com,"Avenue des Schtroumps, 13370 Montruc",22871.5,2. G,0
173,173,949,Mamadou,Cule,Mamadou.Cule@dtc.de,"Place des curkas, 1180 Staro Selo",55.0,4. P,22
174,174,1429,Jean,Maricic,Jean.Maricic@gjunk.com,"Place des curkas, 13370 Veliko Curan",33.0,4. P,14
175,175,275,Marc,Pavlovic,Marc.Pavlovic@gjunk.com,"Avenue des Schtroumps, 13370 Cheapbourg",1334.2,4. P,0
176,176,1466,Jeanette,Testit,Jeanette.Testit@gjunk.com,"Hameau du hibours, 13370 Montruc",80.0,4. P,11
177,177,1894,Josiane,Martin,Josiane.Martin@yopmail.com,"Hameau du hibours, 50130 Cheapbourg",1162.0,4. P,2
178,178,1029,Franck,Pavlovic,Franck.Pavlovic@gjunk.com,"Rue des bananes, 13370 Veliko Curan",7434.25,3. M,5
179,179,1801,Mamadou,Pigox,Mamadou.Pigox@minitel.fr,"Rue des bananes, 50130 Veliko Curan",903.5,4. P,9
180,180,1381,Jeanette,Martin,Jeanette.Martin@yopmail.com,"Rue des bananes, 1180 Staro Selo",44.0,4. P,15
181,181,1251,Franck,Cule,Franck.Cule@minitel.fr,"Boulevard de la girafouine, 1180 Staro Selo",153.5,4. P,0
182,182,1664,Franck,Pigox,Franck.Pigox@hotme.com,"Avenue des Schtroumps, 1180 Staro Selo",1066.0,4. P,8
183,183,2001,Laurent,Martin,Laurent.Martin@youpi.com,"Place des curkas, 50130 Veliko Curan",14.0,4. P,9
184,184,1077,Louis,Pavlovic,Louis.Pavlovic@minitel.fr,"Boulevard de la girafouine, 1180 Staro Selo",21.0,4. P,19
185,185,1544,Laurence,Kezman,Laurence.Kezman@yopmail.com,"Place des curkas, 1180 Veliko Curan",2323.5,3. M,0
186,186,378,Jeanette,Garcimore,Jeanette.Garcimore@yopmail.com,"Boulevard de la girafouine, 50130 Staro Selo",1208.0,4. P,13
187,187,406,Marc,Maricic,Marc.Maricic@gjunk.com,"Place des curkas, 13370 Veliko Curan",217.0,4. P,19
188,188,826,Louis,Garcimore,Louis.Garcimore@hotme.com,"Avenue des Schtroumps, 1180 Montruc",3170.0,3. M,0
189,189,302,Laurence,Cule,Laurence.Cule@minitel.fr,"Place des curkas, 1180 Veliko Curan",1800.5,3. M,7
190,190,1559,Jean,Kezman,Jean.Kezman@youpi.com,"Boulevard de la girafouine, 1180 Staro Selo",77.5,4. P,12
191,191,1577,Bodgan,Pigox,Bodgan.Pigox@gjunk.com,"Place des curkas, 50130 Montruc",193.5,4. P,12
192,192,1207,Marc,Testit,Marc.Testit@dtc.de,"Rue des bananes, 13370 Montruc",12604.0,2. G,0
193,193,821,Jean,Martin,Jean.Martin@gjunk.com,"Rue des bananes, 1180 Veliko Curan",78471.5,1. TG,0
194,194,1347,Franck,Garcimore,Franck.Garcimore@yopmail.com,"Avenue des Schtroumps, 13370 Staro Selo",934.0,4. P,13
195,195,1674,Jeanette,Testit,Jeanette.Testit@gjunk.com,"Avenue des Schtroumps, 13370 Montruc",403.0,4. P,9
196,196,2985,Bodgan,Martin,Bodgan.Martin@hotme.com,"Avenue des Schtroumps, 13370 Cheapbourg",14527.0,2. G,0
197,197,354,Marc,Martin,Marc.Martin@yopmail.com,"Avenue des Schtroumps, 13370 Staro Selo",3071.0,3. M,0
198,198,987,Bodgan,Pavlovic,Bodgan.Pavlovic@hotme.com,"Hameau du hibours, 50130 Cheapbourg",10459.0,3. M,0
199,199,638,Jeanette,Garcimore,Jeanette.Garcimore@yopmail.com,"Boulevard de la girafouine, 1180 Veliko Curan",129.0,4. P,1
200,200,1907,Louis,Cule,Louis.Cule@yopmail.com,"Boulevard de la girafouine, 50130 Montruc",10.0,4. P,10
201,201,1248,Louis,Pavlovic,Louis.Pavlovic@youpi.com,"Rue des bananes, 13370 Cheapbourg",24872.0,2. G,0
202,202,2881,Laurent,Testit,Laurent.Testit@youpi.com,"Avenue des Schtroumps, 50130 Veliko Curan",12344.5,2. G,0
203,203,1053,Louis,Testit,Louis.Testit@hotme.com,"Rue des bananes, 13370 Veliko Curan",77.5,4. P,0
204,204,1615,Bodgan,Kezman,Bodgan.Kezman@hotme.com,"Boulevard de la girafouine, 13370 Montruc",131908.0,1. TG,0
205,205,1744,Jeanette,Kezman,Jeanette.Kezman@yopmail.com,"Hameau du hibours, 50130 Cheapbourg",98.0,4. P,10
206,206,930,Josiane,Bouillave,Josiane.Bouillave@youpi.com,"Boulevard de la girafouine, 1180 Veliko Curan",15.0,4. P,12
207,207,1937,Marc,Martin,Marc.Martin@dtc.de,"Rue des bananes, 13370 Cheapbourg",10.0,4. P,10
208,208,996,Louis,Garcimore,Louis.Garcimore@minitel.fr,"Place des curkas, 1180 Cheapbourg",3701.25,3. M,17
209,209,1802,Louis,Garcimore,Louis.Garcimore@dtc.de,"Avenue des Schtroumps, 1180 Cheapbourg",758.0,4. P,0
210,210,1106,Marc,Maricic,Marc.Maricic@minitel.fr,"Place des curkas, 1180 Staro Selo",5168.5,3. M,2
211,211,1900,Marc,Martin,Marc.Martin@youpi.com,"Place des curkas, 13370 Staro Selo",393.5,4. P,0
212,212,687,Laurent,Garcimore,Laurent.Garcimore@yopmail.com,"Hameau du hibours, 13370 Cheapbourg",117.0,4. P,10
